date,numbers
2016-08-29,19.0
2016-08-30,17.0
2016-08-31,16.0
2016-09-01,21.0
2016-09-02,23.0
2016-09-03,22.0
2016-09-04,21.0
2016-09-05,20.0
2016-09-06,22.0
2016-09-07,26.0
2016-09-08,29.0
2016-09-09,24.0
2016-09-10,35.0
2016-09-11,49.0
2016-09-12,53.0
2016-09-13,54.0
2016-09-14,47.0
2016-09-15,52.0
2016-09-16,56.0
2016-09-17,45.0
2016-09-18,55.0
2016-09-19,62.0
2016-09-20,64.0
2016-09-21,60.0
2016-09-22,64.0
2016-09-23,64.0
2016-09-24,58.0
2016-09-25,65.0
2016-09-26,72.0
2016-09-27,48.0
2016-09-28,35.0
2016-09-29,40.0
2016-09-30,50.0
2016-10-01,51.0
2016-10-02,55.0
2016-10-03,69.0
2016-10-04,71.0
2016-10-05,72.0
2016-10-06,65.0
2016-10-07,72.0
2016-10-08,73.0
2016-10-09,68.0
2016-10-10,80.0
2016-10-11,79.0
2016-10-12,64.0
2016-10-13,59.0
2016-10-14,44.0
2016-10-15,36.0
2016-10-16,41.0
2016-10-17,59.0
2016-10-18,75.0
2016-10-19,14.0
2017-08-25,32.0
2017-08-26,54.0
2017-08-27,52.0
2017-08-28,49.0
2017-08-29,40.0
2017-08-30,35.0
2017-08-31,28.0
2017-09-01,30.0
2017-09-02,46.0
2017-09-03,55.0
2017-09-04,36.0
2017-09-05,32.0
2017-09-06,38.0
2017-09-07,52.0
2017-09-08,70.0
2017-09-09,47.0
2017-09-10,44.0
2017-09-11,25.0
2017-09-12,34.0
2017-09-13,39.0
2017-09-14,47.0
2017-09-15,19.0
2017-09-16,24.0
2017-09-17,33.0
2017-09-18,43.0
2017-09-19,63.0
2017-09-20,62.0
2017-09-21,73.0
2017-09-22,73.0
2017-09-23,79.0
2017-09-24,73.0
2017-09-25,80.0
2017-09-26,70.0
2017-09-27,91.0
2017-09-28,61.0
2017-09-29,84.0
2017-09-30,78.0
2017-10-01,78.0
2017-10-02,92.0
2017-10-03,90.0
2017-10-04,84.0
2017-10-05,86.0
2017-10-06,93.0
2017-10-07,82.0
2017-10-08,45.0
2017-10-09,35.0
2017-10-10,56.0
2017-10-11,82.0
2017-10-12,67.0
2017-10-13,12.0
2018-08-20,67.0
2018-08-21,80.0
2018-08-22,82.0
2018-08-23,75.0
2018-08-24,81.0
2018-08-25,81.0
2018-08-26,70.0
2018-08-27,70.0
2018-08-28,36.0
2018-08-29,44.0
2018-08-30,24.0
2018-08-31,20.0
2018-09-03,43.0
2018-09-04,53.0
2018-09-05,56.0
2018-09-06,52.0
2018-09-07,30.0
2018-09-08,58.0
2018-09-09,50.0
2018-09-10,42.0
2018-09-11,58.0
2018-09-12,66.0
2018-09-13,39.0
2018-09-14,53.0
2018-09-15,56.0
2018-09-16,59.0
2018-09-17,58.0
2018-09-18,54.0
2018-09-19,60.0
2018-09-20,59.0
2018-09-21,72.0
2018-09-22,71.0
2018-09-23,81.0
2018-09-24,85.0
2018-09-25,67.0
2018-09-26,58.0
2018-09-27,66.0
2018-09-28,27.0
2018-09-29,25.0
2018-09-30,34.0
2018-10-01,35.0
2018-10-02,57.0
2018-10-03,66.0
2018-10-04,58.0
2018-10-05,81.0
2018-10-06,72.0
2018-10-07,88.0
2018-10-08,48.0
2019-09-06,28.0
2019-09-07,32.0
2019-09-08,34.0
2019-09-09,33.0
2019-09-10,24.0
2019-09-11,38.0
2019-09-12,47.0
2019-09-13,53.0
2019-09-14,52.0
2019-09-15,61.0
2019-09-16,59.0
2019-09-17,60.0
2019-09-18,58.0
2019-09-19,64.0
2019-09-20,66.0
2019-09-21,60.0
2019-09-22,42.0
2019-09-23,37.0
2019-09-24,51.0
2019-09-25,49.0
2019-09-26,48.0
2019-09-27,62.0
2019-09-28,33.0
2019-09-29,53.0
2019-09-30,49.0
2019-10-01,63.0
2019-10-02,65.0
2019-10-03,60.0
2019-10-04,66.0
2019-10-05,59.0
2019-10-06,63.0
2019-10-07,75.0
2019-10-08,70.0
2019-10-09,56.0
2019-10-10,47.0
2019-10-11,58.0
2019-10-12,64.0
2019-10-13,60.0
2019-10-14,62.0
2019-10-15,52.0
2019-10-16,50.0
2019-10-17,30.0
2019-10-18,36.0
2019-10-19,56.0
2019-10-20,51.0
2019-10-21,35.0
2019-10-22,31.0
2019-10-23,22.0
2020-08-26,18.0
2020-08-27,16.0
2020-08-28,24.0
2020-08-29,30.0
2020-08-30,24.0
2020-08-31,34.0
2020-09-01,45.0
2020-09-02,53.0
2020-09-03,50.0
2020-09-04,36.0
2020-09-05,37.0
2020-09-06,33.0
2020-09-07,35.0
2020-09-08,38.0
2020-09-09,42.0
2020-09-10,40.0
2020-09-11,43.0
2020-09-12,42.0
2020-09-13,47.0
2020-09-14,50.0
2020-09-15,54.0
2020-09-16,72.0
2020-09-17,53.0
2020-09-18,62.0
2020-09-19,48.0
2020-09-20,45.0
2020-09-21,56.0
2020-09-22,55.0
2020-09-23,48.0
2020-09-24,43.0
2020-09-25,68.0
2020-09-26,68.0
2020-09-27,51.0
2020-09-28,61.0
2020-09-29,76.0
2020-09-30,75.0
2020-10-01,63.0
2020-10-02,53.0
2020-10-03,52.0
2020-10-04,35.0
2020-10-05,47.0
2020-10-06,44.0
2020-10-07,73.0
2020-10-08,64.0
2020-10-09,79.0
2020-10-10,59.0
2020-10-11,73.0
2020-10-12,35.0
2020-10-13,41.0
2020-10-14,33.0
2020-10-15,30.0
2021-08-26,35.0
2021-08-27,33.0
2021-08-28,33.0
2021-08-29,34.0
2021-08-30,30.0
2021-08-31,49.0
2021-09-01,40.0
2021-09-02,47.0
2021-09-03,53.0
2021-09-04,50.0
2021-09-05,50.0
2021-09-06,50.0
2021-09-07,49.0
2021-09-08,50.0
2021-09-09,45.0
2021-09-10,45.0
2021-09-11,54.0
2021-09-12,51.0
2021-09-13,41.0
2021-09-14,45.0
2021-09-15,49.0
2021-09-16,48.0
2021-09-17,59.0
2021-09-18,48.0
2021-09-19,49.0
2021-09-20,52.0
2021-09-21,41.0
2021-09-22,50.0
2021-09-23,57.0
2021-09-24,62.0
2021-09-25,69.0
2021-09-26,70.0
2021-09-27,66.0
2021-09-28,59.0
2021-09-29,60.0
2021-09-30,59.0
2021-10-01,65.0
2021-10-02,62.0
2021-10-03,65.0
2021-10-04,55.0
2021-10-05,65.0
2021-10-06,69.0
2021-10-07,51.0
2021-10-08,1.0
